Precentral_L;-38.92822695035461,-6.959999999999994,49.64652482269504
Precentral_R;41.10085773439812,-9.549837326234837,50.80981958000592
Frontal_Sup_2_L;-20.181706063720455,35.92394655704007,35.24563206577595
Frontal_Sup_2_R;22.550634146341466,33.20078048780488,37.34087804878048
Frontal_Mid_2_L;-35.53408838552076,32.90073284477015,29.92538307794804
Frontal_Mid_2_R;38.77784640724727,32.904673666872554,29.301214741610053
Frontal_Inf_Oper_L;-48.795761078998076,11.49132947976878,17.801541425818883
Frontal_Inf_Oper_R;49.92709077912795,13.675482487491053,20.19585418155826
Frontal_Inf_Tri_L;-45.890075128509295,28.666666666666657,12.582839066824832
Frontal_Inf_Tri_R;50.061366806136675,28.901906090190607,12.817294281729431
Frontal_Inf_Orb_2_L;-41.37346437346437,31.056511056511056,-8.076167076167074
Frontal_Inf_Orb_2_R;45.82608695652175,33.418764302059486,-7.988558352402748
Rolandic_Oper_L;-47.378542510121456,-9.751012145748987,12.635627530364374
Rolandic_Oper_R;52.381667918858,-7.537190082644628,13.32982719759579
Supp_Motor_Area_L;-6.809734513274336,3.129424778761063,60.535398230088504
Supp_Motor_Area_R;8.246309574019406,-1.0932096161956935,60.512863770560955
Olfactory_L;-8.577777777777783,14.022222222222211,-12.63703703703704
Olfactory_R;10.138888888888886,14.659722222222229,-12.590277777777779
Frontal_Sup_Medial_L;-6.817406143344712,48.22696245733789,28.805460750853243
Frontal_Sup_Medial_R;8.75070290534208,49.52858481724462,28.92689784442362
Frontal_Med_Orb_L;-6.527363184079604,52.25538971807629,-8.762852404643446
Frontal_Med_Orb_R;7.834112149532714,50.406542056074755,-8.516355140186917
Rectus_L;-6.696148359486443,35.04992867332382,-19.292439372325248
Rectus_R;8.002684563758393,34.451006711409406,-19.436241610738257
OFCmed_L;-14.236363636363635,35.618181818181824,-21.083636363636366
OFCmed_R;16.421900161030592,37.098228663446065,-21.25925925925926
OFCant_L;-25.03837471783295,46.7629796839729,-16.112866817155755
OFCant_R;28.601851851851848,48.46296296296296,-16.1820987654321
OFCpost_L;-28.663139329805993,23.400352733686077,-19.495590828924165
OFCpost_R;33.042857142857144,24.867857142857133,-19.4
OFClat_L;-42.52791878172589,39.85786802030458,-15.116751269035532
OFClat_R;47.75531914893617,36.72340425531914,-16.244680851063826
Insula_L;-35.410118406889126,5.440258342303565,2.1722282023681316
Insula_R;38.721311475409834,5.027699265121527,0.8015828151497999
Cingulate_Mid_L;-6.997555012224936,-16.585574572127143,40.26283618581907
Cingulate_Mid_R;7.664094416704501,-10.197004085338179,38.43758511121199
Cingulate_Post_L;-6.188295165394408,-44.16793893129771,22.463104325699746
Cingulate_Post_R;7.141141141141148,-43.09309309309309,20.516516516516518
Hippocampus_L;-25.25536480686695,-21.963519313304715,-11.384120171673821
Hippocampus_R;28.94503171247358,-20.991543340380545,-11.577167019027485
ParaHippocampal_L;-21.492842535787318,-17.29243353783231,-21.918200408997954
ParaHippocampal_R;25.148409893992934,-16.300353356890454,-21.743816254416963
Amygdala_L;-23.509090909090915,-1.9454545454545524,-18.454545454545453
Amygdala_R;27.05645161290323,-0.5725806451612954,-18.806451612903224
Calcarine_L;-10.056657223796037,-77.54900849858356,5.473087818696882
Calcarine_R;15.709833422890924,-74.44922084900591,8.019344438473937
Cuneus_L;-8.398312236286927,-80.5434599156118,26.17215189873417
Cuneus_R;13.122881355932208,-80.70621468926554,26.871468926553675
Lingual_L;-15.359290290783633,-68.6742237555446,-6.274026614095618
Lingual_R;16.077391304347827,-68.14173913043479,-5.215652173913043
Occipital_Sup_L;-16.756954612005856,-85.61054172767203,26.853587115666173
Occipital_Sup_R;23.963172804532576,-82.20396600566572,29.284702549575073
Occipital_Mid_L;-32.639288997854734,-81.99387067116152,14.788844621513945
Occipital_Mid_R;37.10644391408114,-81.00143198090691,18.095465393794754
Occipital_Inf_L;-36.48246546227418,-79.56854410201913,-9.164718384697132
Occipital_Inf_R;37.87057633973711,-83.19110212335693,-8.99292214357937
Fusiform_L;-31.39514731369151,-41.36221837088388,-21.61525129982669
Fusiform_R;33.6637519872814,-40.16057233704292,-21.546899841017485
Postcentral_L;-42.90441932168551,-23.7754367934224,47.4568345323741
Postcentral_R;41.15825268114045,-26.772691603452785,51.25398901386346
Parietal_Sup_L;-23.719961240310084,-60.799418604651166,57.66375968992247
Parietal_Sup_R;25.838811346240433,-60.436740207113914,60.71949572264745
Parietal_Inf_L;-43.10666121781774,-47.01920719248059,45.42296689824275
Parietal_Inf_R;46.291449814126395,-47.58810408921933,48.19182156133829
SupraMarginal_L;-56.146496815286625,-34.93630573248407,29.119426751592357
SupraMarginal_R;57.27116066903193,-32.82209832742018,33.13228585909782
Angular_L;-44.424914675767916,-62.08532423208191,34.27815699658703
Angular_R;45.22831050228311,-61.23858447488584,37.31506849315069
Precuneus_L;-8.48628192999054,-56.90192368338063,47.13213497319458
Precuneus_R;9.684436274509807,-57.31188725490196,42.36519607843137
Paracentral_Lobule_L;-8.320185614849194,-26.78731631863883,69.02088167053364
Paracentral_Lobule_R;7.126794258373209,-32.942583732057415,66.79186602870814
Caudate_L;-12.63105590062112,9.11055900621119,10.991304347826087
Caudate_R;15.20789779326364,10.487804878048792,10.515679442508713
Putamen_L;-24.34634634634635,2.530530530530541,1.1711711711711672
Putamen_R;27.51035781544256,3.66478342749528,1.2109227871939794
Pallidum_L;-18.061433447098977,-1.3583617747440258,-1.0443686006825885
Pallidum_R;20.921428571428578,-1.057142857142864,-1.085714285714289
Heschl_L;-42.346666666666664,-20.03555555555556,8.675555555555562
Heschl_R;45.700404858299606,-18.315789473684205,9.085020242914979
Temporal_Sup_L;-53.43554006968641,-22.009581881533094,5.840592334494772
Temporal_Sup_R;57.83253740846865,-23.01050620821394,5.418656478828396
Temporal_Pole_Sup_L;-40.15408560311284,13.867704280155635,-21.436575875486383
Temporal_Pole_Sup_R;47.937219730941706,13.45739910313901,-18.1898355754858
Temporal_Mid_L;-55.86887899635775,-34.98421691622825,-3.584783488466215
Temporal_Mid_R;57.15990020412792,-38.565661147652534,-2.7752324790201897
Temporal_Pole_Mid_L;-36.602666666666664,13.354666666666674,-35.40533333333333
Temporal_Pole_Mid_R;43.981418918918905,13.275337837837839,-33.554054054054056
Temporal_Inf_L;-50.03625,-29.291875000000005,-24.519374999999997
Temporal_Inf_R;53.37158931082982,-32.13445850914205,-23.737834036568216
Cerebellum_Crus1_L;-35.38532462543219,-67.94314252785247,-30.262773722627735
Cerebellum_Crus1_R;38.214501510574024,-68.37160120845923,-30.849697885196377
Cerebellum_Crus2_L;-28.56786102062975,-74.37133550488599,-39.69055374592834
Cerebellum_Crus2_R;32.673594709494566,-70.39678790741615,-41.20170051960321
Cerebellum_3_L;-8.117647058823536,-38.367647058823536,-19.779411764705884
Cerebellum_3_R;13.062801932367151,-35.710144927536234,-20.59903381642512
Cerebellum_4_5_L;-14.343111111111114,-44.66311111111111,-18.261333333333333
Cerebellum_4_5_R;17.888501742160273,-44.16492450638792,-19.354239256678284
Cerebellum_6_L;-22.525383707201883,-60.25855962219599,-23.480519480519483
Cerebellum_6_R;25.429526462395543,-59.53760445682451,-24.94038997214485
Cerebellum_7b_L;-31.585616438356162,-61.078767123287676,-46.763698630136986
